frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
26.16,-4.27,-3.36,-4.27,-3.35,3.35,-0.92,-0.91,-0.91
26.43,-4.14,-3.22,-4.14,-3.22,3.22,-0.91,-0.91,-0.91
26.69,-3.99,-3.08,-4.01,-3.09,3.09,-0.90,-0.91,-0.91
26.96,-3.89,-2.97,-3.88,-2.97,2.97,-0.92,-0.91,-0.91
27.23,-3.75,-2.83,-3.75,-2.84,2.84,-0.91,-0.91,-0.91
27.50,-3.64,-2.72,-3.63,-2.71,2.71,-0.93,-0.92,-0.91
27.77,-3.48,-2.56,-3.49,-2.58,2.58,-0.91,-0.92,-0.92
28.05,-3.38,-2.46,-3.37,-2.45,2.45,-0.93,-0.92,-0.92
28.33,-3.23,-2.30,-3.25,-2.32,2.32,-0.91,-0.93,-0.93
28.62,-3.14,-2.20,-3.13,-2.20,2.19,-0.94,-0.93,-0.93
28.90,-3.00,-2.07,-3.00,-2.07,2.07,-0.93,-0.93,-0.93
29.19,-2.88,-1.94,-2.88,-1.95,1.94,-0.94,-0.94,-0.94
29.48,-2.75,-1.82,-2.76,-1.82,1.82,-0.93,-0.94,-0.93
29.78,-2.64,-1.69,-2.64,-1.70,1.70,-0.94,-0.94,-0.94
30.08,-2.53,-1.58,-2.52,-1.58,1.58,-0.95,-0.95,-0.94
30.38,-2.41,-1.45,-2.41,-1.46,1.46,-0.95,-0.95,-0.95
30.68,-2.30,-1.35,-2.29,-1.34,1.34,-0.97,-0.96,-0.95
30.99,-2.18,-1.21,-2.18,-1.22,1.22,-0.96,-0.96,-0.96
31.30,-2.06,-1.09,-2.06,-1.10,1.10,-0.95,-0.96,-0.96
31.61,-1.95,-0.99,-1.95,-0.98,0.99,-0.97,-0.96,-0.96
31.93,-1.85,-0.87,-1.85,-0.88,0.88,-0.97,-0.97,-0.97
32.24,-1.74,-0.76,-1.74,-0.77,0.76,-0.98,-0.98,-0.98
32.57,-1.65,-0.66,-1.64,-0.66,0.66,-0.99,-0.98,-0.98
32.89,-1.53,-0.55,-1.54,-0.55,0.55,-0.98,-0.99,-0.98
33.22,-1.43,-0.44,-1.44,-0.45,0.45,-0.99,-0.99,-0.99
33.55,-1.33,-0.34,-1.33,-0.34,0.34,-0.99,-0.99,-0.99
33.89,-1.24,-0.24,-1.24,-0.24,0.24,-1.00,-1.00,-1.00
34.23,-1.15,-0.14,-1.15,-0.15,0.15,-1.00,-1.00,-1.00
34.57,-1.06,-0.05,-1.06,-0.05,0.05,-1.01,-1.01,-1.01
34.92,-0.99,0.04,-0.98,0.04,-0.04,-1.03,-1.02,-1.02
35.27,-0.89,0.14,-0.90,0.13,-0.13,-1.02,-1.03,-1.02
35.62,-0.82,0.21,-0.81,0.22,-0.22,-1.05,-1.03,-1.03
35.97,-0.71,0.33,-0.73,0.31,-0.31,-1.02,-1.04,-1.04
36.33,-0.64,0.40,-0.65,0.40,-0.40,-1.04,-1.04,-1.04
36.70,-0.58,0.48,-0.57,0.49,-0.48,-1.06,-1.05,-1.05
37.06,-0.49,0.57,-0.50,0.56,-0.56,-1.06,-1.06,-1.06
37.43,-0.42,0.64,-0.43,0.64,-0.64,-1.07,-1.07,-1.06
37.81,-0.35,0.72,-0.35,0.72,-0.72,-1.08,-1.07,-1.07
38.19,-0.29,0.80,-0.28,0.80,-0.80,-1.08,-1.08,-1.08
38.57,-0.20,0.88,-0.21,0.87,-0.87,-1.08,-1.09,-1.08
38.95,-0.15,0.94,-0.15,0.95,-0.95,-1.10,-1.09,-1.09
39.34,-0.08,1.02,-0.08,1.02,-1.01,-1.10,-1.10,-1.10
39.74,-0.02,1.10,-0.02,1.09,-1.08,-1.10,-1.10,-1.11
40.14,0.03,1.15,0.03,1.15,-1.14,-1.11,-1.11,-1.11
40.54,0.08,1.20,0.08,1.20,-1.20,-1.13,-1.12,-1.12
40.94,0.13,1.25,0.13,1.25,-1.26,-1.13,-1.13,-1.12
41.35,0.19,1.32,0.18,1.31,-1.31,-1.12,-1.13,-1.13
41.76,0.23,1.36,0.23,1.36,-1.36,-1.13,-1.13,-1.13
42.18,0.27,1.40,0.27,1.40,-1.40,-1.14,-1.13,-1.13
42.60,0.31,1.45,0.30,1.44,-1.45,-1.14,-1.14,-1.14
43.03,0.34,1.48,0.34,1.48,-1.48,-1.15,-1.15,-1.14
43.46,0.36,1.51,0.36,1.52,-1.52,-1.16,-1.15,-1.15
43.90,0.39,1.57,0.38,1.55,-1.55,-1.15,-1.16,-1.17
44.33,0.40,1.58,0.40,1.58,-1.57,-1.17,-1.17,-1.18
44.78,0.40,1.59,0.40,1.59,-1.59,-1.19,-1.19,-1.19
45.23,0.40,1.60,0.40,1.60,-1.60,-1.21,-1.21,-1.20
45.68,0.40,1.61,0.40,1.61,-1.61,-1.22,-1.22,-1.21
46.13,0.40,1.62,0.40,1.62,-1.61,-1.22,-1.21,-1.22
46.60,0.40,1.62,0.39,1.62,-1.61,-1.22,-1.22,-1.22
47.06,0.40,1.63,0.38,1.61,-1.61,-1.22,-1.23,-1.23
47.53,0.36,1.60,0.37,1.61,-1.61,-1.26,-1.24,-1.24
48.01,0.36,1.60,0.35,1.60,-1.61,-1.25,-1.26,-1.24
48.49,0.34,1.60,0.33,1.60,-1.60,-1.27,-1.27,-1.26
48.97,0.32,1.60,0.32,1.60,-1.60,-1.28,-1.28,-1.28
49.46,0.31,1.61,0.30,1.60,-1.59,-1.29,-1.29,-1.30
49.96,0.27,1.59,0.28,1.59,-1.59,-1.32,-1.31,-1.32
50.46,0.27,1.59,0.25,1.58,-1.58,-1.32,-1.33,-1.32
50.96,0.23,1.56,0.24,1.57,-1.58,-1.35,-1.34,-1.33
51.47,0.23,1.58,0.23,1.58,-1.58,-1.35,-1.35,-1.35
51.99,0.23,1.59,0.22,1.57,-1.57,-1.35,-1.36,-1.36
52.51,0.22,1.58,0.21,1.58,-1.57,-1.36,-1.37,-1.36
53.03,0.19,1.56,0.20,1.57,-1.57,-1.39,-1.38,-1.37
53.56,0.19,1.57,0.19,1.57,-1.58,-1.39,-1.39,-1.38
54.10,0.19,1.58,0.19,1.58,-1.58,-1.39,-1.39,-1.39
54.64,0.19,1.59,0.18,1.59,-1.58,-1.39,-1.39,-1.40
55.18,0.19,1.60,0.17,1.58,-1.57,-1.39,-1.41,-1.41
55.74,0.14,1.56,0.16,1.57,-1.57,-1.43,-1.41,-1.42
56.29,0.14,1.56,0.14,1.56,-1.56,-1.43,-1.43,-1.42
56.86,0.14,1.57,0.12,1.55,-1.55,-1.41,-1.43,-1.43
57.42,0.10,1.54,0.11,1.55,-1.54,-1.44,-1.43,-1.44
58.00,0.10,1.54,0.09,1.53,-1.52,-1.43,-1.44,-1.44
58.58,0.07,1.51,0.07,1.51,-1.51,-1.45,-1.44,-1.44
59.16,0.06,1.50,0.06,1.50,-1.51,-1.45,-1.44,-1.44
59.76,0.06,1.50,0.05,1.49,-1.51,-1.45,-1.46,-1.44
60.35,0.06,1.51,0.05,1.50,-1.52,-1.46,-1.46,-1.45
60.96,0.06,1.51,0.07,1.52,-1.54,-1.48,-1.47,-1.45
61.57,0.10,1.57,0.09,1.56,-1.57,-1.47,-1.48,-1.47
62.18,0.13,1.61,0.12,1.60,-1.61,-1.48,-1.48,-1.48
62.80,0.17,1.65,0.17,1.65,-1.65,-1.49,-1.49,-1.48
63.43,0.21,1.70,0.22,1.71,-1.71,-1.50,-1.49,-1.49
64.07,0.27,1.77,0.27,1.76,-1.77,-1.49,-1.50,-1.49
64.71,0.34,1.83,0.33,1.82,-1.83,-1.49,-1.50,-1.49
65.35,0.38,1.87,0.38,1.87,-1.88,-1.50,-1.50,-1.49
66.01,0.43,1.92,0.43,1.92,-1.92,-1.49,-1.49,-1.49
66.67,0.46,1.95,0.46,1.95,-1.94,-1.49,-1.48,-1.49
67.33,0.49,1.98,0.48,1.97,-1.95,-1.46,-1.47,-1.49
68.01,0.47,1.96,0.47,1.96,-1.93,-1.47,-1.47,-1.49
68.69,0.43,1.92,0.43,1.92,-1.89,-1.47,-1.47,-1.49
69.37,0.35,1.85,0.35,1.85,-1.83,-1.47,-1.47,-1.49
70.07,0.27,1.76,0.26,1.75,-1.74,-1.48,-1.48,-1.49
70.77,0.16,1.64,0.16,1.64,-1.64,-1.48,-1.48,-1.48
71.48,0.04,1.52,0.04,1.52,-1.52,-1.49,-1.48,-1.48
72.19,-0.07,1.42,-0.08,1.40,-1.40,-1.46,-1.48,-1.48
72.91,-0.22,1.27,-0.21,1.28,-1.28,-1.49,-1.48,-1.48
73.64,-0.33,1.16,-0.32,1.16,-1.16,-1.49,-1.48,-1.48
74.38,-0.42,1.05,-0.43,1.05,-1.06,-1.49,-1.49,-1.47
75.12,-0.50,0.97,-0.51,0.96,-0.98,-1.49,-1.49,-1.47
75.87,-0.56,0.90,-0.56,0.90,-0.92,-1.49,-1.49,-1.46
76.63,-0.59,0.86,-0.59,0.86,-0.89,-1.48,-1.48,-1.45
77.40,-0.58,0.86,-0.58,0.86,-0.88,-1.46,-1.46,-1.44
78.17,-0.55,0.89,-0.56,0.88,-0.89,-1.44,-1.44,-1.44
78.95,-0.50,0.92,-0.51,0.92,-0.92,-1.42,-1.43,-1.42
79.74,-0.45,0.96,-0.45,0.96,-0.96,-1.41,-1.41,-1.41
80.54,-0.38,1.02,-0.38,1.02,-1.01,-1.40,-1.39,-1.40
81.35,-0.30,1.09,-0.31,1.08,-1.07,-1.38,-1.38,-1.39
82.16,-0.23,1.15,-0.24,1.14,-1.13,-1.36,-1.37,-1.38
82.98,-0.18,1.18,-0.17,1.20,-1.19,-1.37,-1.36,-1.36
83.81,-0.10,1.26,-0.11,1.25,-1.24,-1.34,-1.35,-1.36
84.65,-0.05,1.30,-0.06,1.29,-1.29,-1.34,-1.35,-1.35
85.50,-0.00,1.33,0.00,1.34,-1.34,-1.34,-1.33,-1.33
86.35,0.06,1.38,0.06,1.38,-1.38,-1.32,-1.32,-1.32
87.22,0.12,1.43,0.11,1.42,-1.42,-1.30,-1.31,-1.31
88.09,0.17,1.47,0.16,1.46,-1.46,-1.29,-1.30,-1.30
88.97,0.21,1.49,0.21,1.50,-1.50,-1.29,-1.29,-1.28
89.86,0.26,1.53,0.26,1.53,-1.54,-1.28,-1.28,-1.27
90.76,0.31,1.58,0.30,1.57,-1.57,-1.27,-1.27,-1.27
91.66,0.36,1.61,0.36,1.61,-1.61,-1.26,-1.26,-1.25
92.58,0.41,1.66,0.41,1.65,-1.65,-1.25,-1.25,-1.25
93.51,0.46,1.69,0.46,1.69,-1.69,-1.23,-1.23,-1.23
94.44,0.51,1.73,0.51,1.73,-1.73,-1.22,-1.22,-1.22
95.39,0.56,1.77,0.55,1.77,-1.77,-1.21,-1.22,-1.21
96.34,0.60,1.81,0.60,1.80,-1.81,-1.21,-1.21,-1.21
97.30,0.64,1.84,0.64,1.84,-1.84,-1.21,-1.20,-1.20
98.28,0.69,1.88,0.68,1.87,-1.88,-1.19,-1.19,-1.19
99.26,0.73,1.91,0.73,1.91,-1.91,-1.18,-1.18,-1.18
100.25,0.77,1.94,0.77,1.94,-1.94,-1.17,-1.17,-1.17
101.25,0.81,1.97,0.80,1.97,-1.97,-1.16,-1.16,-1.16
102.27,0.84,1.99,0.84,1.99,-1.99,-1.15,-1.15,-1.15
103.29,0.87,2.02,0.86,2.00,-2.01,-1.14,-1.15,-1.15
104.32,0.88,2.01,0.88,2.01,-2.02,-1.14,-1.14,-1.13
105.37,0.89,2.01,0.90,2.02,-2.02,-1.13,-1.12,-1.12
106.42,0.92,2.03,0.91,2.02,-2.01,-1.10,-1.11,-1.11
107.48,0.92,2.02,0.90,2.01,-2.00,-1.08,-1.09,-1.10
108.56,0.88,1.98,0.89,1.99,-1.97,-1.10,-1.09,-1.10
109.64,0.86,1.95,0.85,1.94,-1.94,-1.08,-1.09,-1.09
110.74,0.82,1.90,0.81,1.90,-1.89,-1.08,-1.08,-1.08
111.85,0.77,1.84,0.77,1.85,-1.84,-1.08,-1.07,-1.07
112.97,0.73,1.81,0.72,1.79,-1.78,-1.06,-1.07,-1.08
114.10,0.66,1.73,0.66,1.73,-1.73,-1.07,-1.07,-1.07
115.24,0.60,1.67,0.60,1.67,-1.67,-1.08,-1.08,-1.07
116.39,0.55,1.62,0.54,1.61,-1.63,-1.08,-1.09,-1.07
117.55,0.50,1.57,0.51,1.58,-1.59,-1.10,-1.09,-1.07
118.73,0.49,1.56,0.48,1.55,-1.57,-1.08,-1.09,-1.07
119.92,0.49,1.55,0.48,1.55,-1.56,-1.08,-1.08,-1.06
121.12,0.49,1.55,0.50,1.56,-1.57,-1.08,-1.07,-1.06
122.33,0.53,1.59,0.52,1.58,-1.58,-1.06,-1.06,-1.06
123.55,0.56,1.61,0.56,1.61,-1.61,-1.06,-1.06,-1.05
124.79,0.60,1.65,0.60,1.65,-1.65,-1.05,-1.05,-1.05
126.03,0.64,1.69,0.63,1.69,-1.68,-1.05,-1.05,-1.05
127.29,0.67,1.72,0.67,1.72,-1.72,-1.05,-1.05,-1.05
128.57,0.71,1.77,0.70,1.76,-1.74,-1.04,-1.05,-1.06
129.85,0.71,1.77,0.72,1.78,-1.77,-1.06,-1.05,-1.06
131.15,0.75,1.81,0.74,1.80,-1.79,-1.04,-1.05,-1.06
132.46,0.75,1.81,0.74,1.80,-1.80,-1.05,-1.06,-1.06
133.79,0.75,1.80,0.75,1.81,-1.81,-1.06,-1.06,-1.05
135.12,0.75,1.81,0.75,1.80,-1.81,-1.06,-1.06,-1.06
136.48,0.75,1.80,0.75,1.80,-1.81,-1.07,-1.07,-1.05
137.84,0.75,1.80,0.75,1.80,-1.81,-1.06,-1.06,-1.05
139.22,0.75,1.81,0.75,1.80,-1.80,-1.06,-1.06,-1.06
140.61,0.75,1.81,0.75,1.80,-1.79,-1.05,-1.05,-1.06
142.02,0.75,1.79,0.75,1.80,-1.79,-1.04,-1.04,-1.04
143.44,0.75,1.79,0.74,1.78,-1.78,-1.03,-1.04,-1.04
144.87,0.74,1.78,0.73,1.77,-1.77,-1.04,-1.04,-1.04
146.32,0.71,1.75,0.72,1.75,-1.76,-1.06,-1.05,-1.04
147.78,0.71,1.74,0.71,1.74,-1.75,-1.05,-1.05,-1.03
149.26,0.71,1.74,0.71,1.74,-1.74,-1.04,-1.04,-1.03
150.75,0.71,1.75,0.70,1.74,-1.73,-1.03,-1.03,-1.04
152.26,0.71,1.75,0.69,1.73,-1.73,-1.02,-1.04,-1.04
153.78,0.67,1.71,0.68,1.72,-1.72,-1.06,-1.05,-1.04
155.32,0.66,1.71,0.66,1.71,-1.72,-1.06,-1.05,-1.05
156.88,0.66,1.71,0.65,1.70,-1.71,-1.06,-1.06,-1.05
158.44,0.66,1.72,0.64,1.70,-1.71,-1.05,-1.07,-1.06
160.03,0.62,1.69,0.63,1.70,-1.70,-1.09,-1.07,-1.07
161.63,0.62,1.70,0.62,1.70,-1.69,-1.08,-1.08,-1.08
163.24,0.62,1.71,0.60,1.69,-1.69,-1.07,-1.08,-1.09
164.88,0.58,1.67,0.59,1.68,-1.68,-1.10,-1.09,-1.09
166.53,0.58,1.68,0.56,1.67,-1.66,-1.09,-1.10,-1.10
168.19,0.53,1.64,0.54,1.65,-1.65,-1.12,-1.11,-1.11
169.87,0.52,1.64,0.51,1.63,-1.63,-1.12,-1.12,-1.12
171.57,0.49,1.62,0.48,1.61,-1.62,-1.13,-1.13,-1.13
173.29,0.45,1.59,0.45,1.59,-1.60,-1.15,-1.14,-1.14
175.02,0.43,1.58,0.42,1.57,-1.58,-1.15,-1.16,-1.15
176.77,0.38,1.55,0.38,1.55,-1.56,-1.18,-1.17,-1.17
178.54,0.35,1.54,0.35,1.53,-1.53,-1.19,-1.19,-1.19
180.32,0.31,1.51,0.30,1.51,-1.51,-1.20,-1.20,-1.20
182.13,0.27,1.48,0.26,1.48,-1.48,-1.21,-1.21,-1.21
183.95,0.22,1.45,0.22,1.45,-1.44,-1.23,-1.23,-1.23
185.79,0.17,1.41,0.16,1.41,-1.41,-1.24,-1.24,-1.24
187.65,0.11,1.37,0.11,1.37,-1.36,-1.26,-1.26,-1.26
189.52,0.05,1.32,0.05,1.32,-1.32,-1.27,-1.27,-1.27
191.42,-0.01,1.27,-0.02,1.27,-1.27,-1.28,-1.28,-1.28
193.33,-0.08,1.21,-0.08,1.21,-1.21,-1.30,-1.30,-1.29
195.27,-0.15,1.15,-0.16,1.15,-1.15,-1.31,-1.31,-1.30
197.22,-0.23,1.08,-0.23,1.09,-1.09,-1.32,-1.32,-1.31
199.19,-0.30,1.03,-0.30,1.02,-1.02,-1.33,-1.32,-1.33
201.18,-0.37,0.96,-0.38,0.96,-0.95,-1.32,-1.33,-1.33
203.19,-0.45,0.88,-0.46,0.88,-0.87,-1.33,-1.33,-1.33
205.23,-0.54,0.80,-0.55,0.79,-0.79,-1.34,-1.34,-1.34
207.28,-0.64,0.69,-0.64,0.70,-0.71,-1.35,-1.34,-1.33
209.35,-0.72,0.62,-0.73,0.61,-0.61,-1.34,-1.35,-1.34
211.44,-0.82,0.53,-0.83,0.51,-0.52,-1.34,-1.35,-1.35
213.56,-0.93,0.41,-0.93,0.41,-0.42,-1.35,-1.35,-1.34
215.69,-1.03,0.30,-1.03,0.30,-0.31,-1.34,-1.34,-1.33
217.85,-1.13,0.20,-1.14,0.20,-0.19,-1.33,-1.33,-1.33
220.03,-1.24,0.09,-1.25,0.08,-0.07,-1.32,-1.32,-1.33
222.23,-1.36,-0.03,-1.37,-0.04,0.06,-1.31,-1.32,-1.33
224.45,-1.51,-0.20,-1.50,-0.18,0.19,-1.33,-1.31,-1.31
226.70,-1.62,-0.32,-1.63,-0.33,0.33,-1.30,-1.30,-1.30
228.96,-1.76,-0.47,-1.77,-0.48,0.47,-1.29,-1.29,-1.29
231.25,-1.90,-0.63,-1.90,-0.63,0.62,-1.28,-1.28,-1.27
233.57,-2.04,-0.78,-2.04,-0.78,0.78,-1.27,-1.27,-1.26
235.90,-2.17,-0.92,-2.18,-0.93,0.93,-1.24,-1.25,-1.25
238.26,-2.32,-1.08,-2.32,-1.08,1.08,-1.24,-1.24,-1.24
240.64,-2.45,-1.23,-2.46,-1.24,1.24,-1.22,-1.22,-1.22
243.05,-2.59,-1.39,-2.60,-1.39,1.39,-1.21,-1.21,-1.20
245.48,-2.73,-1.55,-2.73,-1.54,1.54,-1.19,-1.19,-1.18
247.93,-2.84,-1.68,-2.85,-1.69,1.69,-1.16,-1.16,-1.16
250.41,-2.97,-1.82,-2.98,-1.83,1.83,-1.14,-1.14,-1.15
252.92,-3.09,-1.97,-3.10,-1.98,1.98,-1.12,-1.12,-1.12
255.45,-3.22,-2.13,-3.22,-2.12,2.11,-1.11,-1.11,-1.09
258.00,-3.32,-2.25,-3.32,-2.25,2.25,-1.08,-1.08,-1.07
260.58,-3.42,-2.37,-3.42,-2.37,2.38,-1.05,-1.05,-1.05
263.19,-3.50,-2.48,-3.52,-2.49,2.50,-1.00,-1.02,-1.02
265.82,-3.61,-2.61,-3.61,-2.61,2.62,-1.00,-0.99,-1.00
268.48,-3.71,-2.74,-3.70,-2.73,2.73,-0.98,-0.97,-0.97
271.16,-3.77,-2.83,-3.79,-2.84,2.84,-0.94,-0.95,-0.94
273.87,-3.86,-2.94,-3.86,-2.94,2.94,-0.93,-0.92,-0.92
276.61,-3.91,-3.02,-3.92,-3.03,3.03,-0.88,-0.89,-0.89
279.38,-3.98,-3.11,-3.98,-3.11,3.12,-0.87,-0.87,-0.87
282.17,-4.03,-3.18,-4.03,-3.18,3.19,-0.84,-0.84,-0.85
284.99,-4.06,-3.24,-4.07,-3.25,3.25,-0.82,-0.82,-0.82
287.84,-4.10,-3.30,-4.10,-3.30,3.29,-0.81,-0.80,-0.80
290.72,-4.10,-3.33,-4.11,-3.33,3.32,-0.79,-0.79,-0.77
293.63,-4.09,-3.34,-4.09,-3.34,3.33,-0.77,-0.77,-0.75
296.57,-4.05,-3.33,-4.05,-3.33,3.31,-0.74,-0.74,-0.72
299.53,-3.99,-3.29,-4.00,-3.29,3.28,-0.72,-0.72,-0.70
302.53,-3.91,-3.23,-3.92,-3.24,3.23,-0.69,-0.69,-0.68
305.55,-3.82,-3.18,-3.82,-3.17,3.16,-0.66,-0.66,-0.64
308.61,-3.70,-3.08,-3.70,-3.08,3.09,-0.62,-0.62,-0.62
311.69,-3.58,-2.99,-3.59,-3.00,3.01,-0.58,-0.58,-0.59
314.81,-3.47,-2.92,-3.48,-2.92,2.93,-0.54,-0.55,-0.55
317.96,-3.39,-2.86,-3.39,-2.85,2.87,-0.52,-0.52,-0.53
321.14,-3.30,-2.79,-3.31,-2.80,2.82,-0.48,-0.49,-0.51
324.35,-3.25,-2.76,-3.25,-2.76,2.79,-0.47,-0.46,-0.49
327.59,-3.20,-2.74,-3.21,-2.75,2.77,-0.43,-0.44,-0.46
330.87,-3.19,-2.75,-3.20,-2.75,2.77,-0.43,-0.43,-0.44
334.18,-3.19,-2.77,-3.19,-2.77,2.77,-0.42,-0.42,-0.42
337.52,-3.19,-2.79,-3.19,-2.80,2.78,-0.41,-0.41,-0.40
340.90,-3.19,-2.82,-3.19,-2.81,2.79,-0.40,-0.39,-0.37
344.30,-3.15,-2.80,-3.16,-2.81,2.79,-0.36,-0.37,-0.35
347.75,-3.13,-2.80,-3.13,-2.80,2.78,-0.35,-0.35,-0.33
351.23,-3.08,-2.77,-3.09,-2.77,2.76,-0.32,-0.32,-0.31
354.74,-3.03,-2.74,-3.03,-2.74,2.73,-0.31,-0.30,-0.29
358.28,-2.95,-2.68,-2.95,-2.68,2.68,-0.28,-0.27,-0.27
361.87,-2.87,-2.62,-2.87,-2.62,2.62,-0.25,-0.25,-0.25
365.49,-2.77,-2.54,-2.79,-2.55,2.56,-0.21,-0.23,-0.23
369.14,-2.71,-2.49,-2.70,-2.48,2.49,-0.22,-0.21,-0.22
372.83,-2.61,-2.41,-2.62,-2.42,2.42,-0.19,-0.20,-0.20
376.56,-2.54,-2.35,-2.54,-2.35,2.35,-0.19,-0.19,-0.19
380.33,-2.44,-2.28,-2.45,-2.29,2.28,-0.16,-0.17,-0.16
384.13,-2.37,-2.22,-2.37,-2.21,2.21,-0.16,-0.16,-0.15
387.97,-2.28,-2.14,-2.28,-2.14,2.14,-0.14,-0.14,-0.14
391.85,-2.19,-2.06,-2.20,-2.07,2.08,-0.12,-0.13,-0.13
395.77,-2.12,-2.01,-2.12,-2.01,2.01,-0.12,-0.11,-0.11
399.73,-2.04,-1.94,-2.04,-1.94,1.95,-0.10,-0.10,-0.10
403.72,-1.97,-1.88,-1.97,-1.88,1.88,-0.09,-0.09,-0.09
407.76,-1.89,-1.81,-1.90,-1.82,1.82,-0.07,-0.08,-0.08
411.84,-1.83,-1.77,-1.83,-1.77,1.77,-0.07,-0.07,-0.06
415.96,-1.77,-1.72,-1.77,-1.72,1.71,-0.06,-0.06,-0.05
420.12,-1.70,-1.66,-1.71,-1.67,1.66,-0.04,-0.05,-0.04
424.32,-1.64,-1.61,-1.64,-1.61,1.61,-0.03,-0.03,-0.03
428.56,-1.57,-1.55,-1.58,-1.56,1.57,-0.01,-0.01,-0.02
432.85,-1.52,-1.51,-1.53,-1.52,1.53,0.00,-0.00,-0.01
437.18,-1.48,-1.48,-1.48,-1.49,1.49,0.00,0.01,-0.00
441.55,-1.44,-1.46,-1.44,-1.45,1.45,0.01,0.01,0.02
445.96,-1.39,-1.42,-1.39,-1.42,1.42,0.02,0.02,0.03
450.42,-1.33,-1.37,-1.35,-1.39,1.38,0.05,0.04,0.04
454.93,-1.30,-1.36,-1.30,-1.35,1.35,0.04,0.05,0.06
459.48,-1.24,-1.31,-1.24,-1.32,1.31,0.06,0.06,0.07
464.07,-1.18,-1.27,-1.18,-1.27,1.26,0.08,0.08,0.09
468.71,-1.11,-1.22,-1.12,-1.22,1.22,0.10,0.10,0.11
473.40,-1.04,-1.16,-1.05,-1.17,1.17,0.12,0.12,0.12
478.13,-0.98,-1.12,-0.98,-1.12,1.12,0.14,0.14,0.14
482.91,-0.91,-1.06,-0.92,-1.07,1.08,0.16,0.16,0.15
487.74,-0.86,-1.03,-0.86,-1.03,1.04,0.17,0.17,0.17
492.62,-0.81,-1.00,-0.81,-1.00,1.00,0.18,0.19,0.19
497.55,-0.76,-0.96,-0.77,-0.97,0.97,0.20,0.20,0.20
502.52,-0.72,-0.94,-0.72,-0.94,0.94,0.22,0.22,0.22
507.55,-0.68,-0.91,-0.68,-0.91,0.92,0.23,0.23,0.23
512.62,-0.64,-0.89,-0.65,-0.90,0.90,0.25,0.25,0.25
517.75,-0.61,-0.88,-0.62,-0.88,0.88,0.27,0.27,0.27
522.93,-0.58,-0.87,-0.58,-0.87,0.87,0.28,0.28,0.29
528.16,-0.55,-0.85,-0.55,-0.85,0.85,0.30,0.30,0.30
533.44,-0.51,-0.83,-0.52,-0.84,0.84,0.32,0.32,0.32
538.77,-0.49,-0.83,-0.49,-0.83,0.83,0.33,0.34,0.34
544.16,-0.46,-0.82,-0.46,-0.82,0.82,0.35,0.36,0.36
549.60,-0.42,-0.80,-0.43,-0.81,0.81,0.38,0.37,0.38
555.10,-0.40,-0.79,-0.40,-0.80,0.79,0.39,0.39,0.39
560.65,-0.38,-0.79,-0.38,-0.79,0.78,0.40,0.41,0.41
