frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
33.55,-1.61,-5.30,-1.60,-5.29,5.29,3.69,3.69,3.69
33.89,-1.51,-5.19,-1.51,-5.19,5.19,3.68,3.68,3.68
34.23,-1.40,-5.07,-1.41,-5.08,5.08,3.68,3.67,3.67
34.57,-1.32,-4.98,-1.31,-4.98,4.97,3.65,3.66,3.66
34.92,-1.22,-4.87,-1.22,-4.87,4.87,3.65,3.65,3.65
35.27,-1.12,-4.76,-1.12,-4.76,4.76,3.64,3.64,3.64
35.62,-1.01,-4.64,-1.02,-4.65,4.65,3.64,3.63,3.63
35.97,-0.93,-4.55,-0.92,-4.54,4.54,3.62,3.62,3.62
36.33,-0.83,-4.44,-0.82,-4.43,4.44,3.61,3.61,3.61
36.70,-0.72,-4.32,-0.73,-4.33,4.33,3.61,3.60,3.60
37.06,-0.64,-4.23,-0.63,-4.22,4.23,3.59,3.59,3.59
37.43,-0.54,-4.12,-0.54,-4.12,4.12,3.58,3.58,3.58
37.81,-0.44,-4.01,-0.45,-4.02,4.01,3.57,3.57,3.57
38.19,-0.36,-3.92,-0.35,-3.91,3.91,3.55,3.56,3.56
38.57,-0.25,-3.80,-0.25,-3.80,3.80,3.55,3.55,3.55
38.95,-0.15,-3.69,-0.16,-3.69,3.69,3.54,3.53,3.54
39.34,-0.07,-3.59,-0.06,-3.58,3.58,3.51,3.52,3.52
39.74,0.04,-3.47,0.04,-3.47,3.47,3.51,3.51,3.51
40.14,0.14,-3.36,0.14,-3.36,3.36,3.50,3.50,3.50
40.54,0.24,-3.25,0.24,-3.25,3.25,3.49,3.49,3.49
40.94,0.34,-3.14,0.34,-3.14,3.14,3.48,3.48,3.48
41.35,0.45,-3.02,0.44,-3.03,3.04,3.49,3.48,3.47
41.76,0.53,-2.93,0.54,-2.92,2.93,3.46,3.47,3.46
42.18,0.63,-2.82,0.63,-2.82,2.83,3.46,3.45,3.45
42.60,0.72,-2.72,0.72,-2.72,2.72,3.44,3.44,3.44
43.03,0.80,-2.63,0.81,-2.62,2.61,3.41,3.42,3.43
43.46,0.90,-2.51,0.89,-2.52,2.50,3.41,3.40,3.41
43.90,0.98,-2.41,0.99,-2.41,2.39,3.37,3.38,3.39
44.33,1.08,-2.29,1.09,-2.28,2.28,3.37,3.37,3.37
44.78,1.19,-2.16,1.18,-2.17,2.17,3.36,3.35,3.35
45.23,1.29,-2.04,1.28,-2.05,2.06,3.35,3.34,3.33
45.68,1.37,-1.95,1.38,-1.94,1.95,3.32,3.33,3.32
46.13,1.47,-1.83,1.47,-1.84,1.84,3.31,3.31,3.30
46.60,1.56,-1.73,1.56,-1.73,1.73,3.29,3.29,3.29
47.06,1.64,-1.63,1.65,-1.63,1.63,3.27,3.27,3.27
47.53,1.74,-1.51,1.73,-1.52,1.52,3.26,3.25,3.25
48.01,1.80,-1.44,1.81,-1.43,1.42,3.22,3.22,3.24
48.49,1.90,-1.31,1.89,-1.32,1.31,3.21,3.20,3.21
48.97,1.96,-1.22,1.97,-1.21,1.20,3.16,3.17,3.18
49.46,2.07,-1.08,2.06,-1.09,1.10,3.17,3.16,3.15
49.96,2.13,-0.99,2.14,-0.98,0.99,3.12,3.13,3.12
50.46,2.23,-0.87,2.22,-0.88,0.89,3.12,3.11,3.10
50.96,2.29,-0.79,2.30,-0.78,0.78,3.07,3.08,3.08
51.47,2.37,-0.68,2.37,-0.68,0.68,3.05,3.06,3.05
51.99,2.45,-0.58,2.44,-0.59,0.58,3.03,3.03,3.03
52.51,2.52,-0.49,2.52,-0.49,0.48,3.00,3.01,3.01
53.03,2.59,-0.40,2.59,-0.39,0.39,2.98,2.98,2.99
53.56,2.67,-0.29,2.67,-0.30,0.29,2.96,2.96,2.96
54.10,2.74,-0.20,2.74,-0.20,0.20,2.94,2.94,2.94
54.64,2.81,-0.10,2.81,-0.10,0.11,2.92,2.92,2.91
55.18,2.88,-0.01,2.88,-0.01,0.02,2.90,2.89,2.89
55.74,2.94,0.08,2.94,0.08,-0.07,2.87,2.87,2.86
56.29,2.99,0.15,3.00,0.16,-0.16,2.83,2.84,2.84
56.86,3.06,0.24,3.05,0.24,-0.24,2.82,2.81,2.82
57.42,3.11,0.32,3.11,0.32,-0.32,2.79,2.79,2.79
58.00,3.17,0.40,3.17,0.40,-0.40,2.77,2.77,2.77
58.58,3.23,0.48,3.23,0.48,-0.48,2.75,2.75,2.75
59.16,3.29,0.56,3.29,0.56,-0.55,2.74,2.73,2.73
59.76,3.34,0.63,3.33,0.63,-0.63,2.71,2.70,2.71
60.35,3.37,0.69,3.38,0.70,-0.70,2.67,2.68,2.68
60.96,3.42,0.77,3.42,0.77,-0.78,2.64,2.65,2.65
61.57,3.47,0.86,3.46,0.85,-0.85,2.62,2.61,2.61
62.18,3.50,0.92,3.50,0.92,-0.92,2.58,2.58,2.58
62.80,3.53,0.98,3.54,0.99,-0.98,2.55,2.55,2.55
63.43,3.57,1.05,3.57,1.05,-1.05,2.52,2.52,2.52
64.07,3.61,1.12,3.61,1.11,-1.11,2.50,2.49,2.49
64.71,3.64,1.17,3.64,1.17,-1.18,2.46,2.46,2.47
65.35,3.67,1.23,3.67,1.23,-1.24,2.43,2.44,2.44
66.01,3.70,1.29,3.70,1.29,-1.29,2.41,2.41,2.41
66.67,3.73,1.35,3.73,1.35,-1.35,2.38,2.38,2.38
67.33,3.74,1.39,3.75,1.40,-1.40,2.34,2.35,2.35
68.01,3.78,1.46,3.77,1.45,-1.45,2.33,2.32,2.32
68.69,3.78,1.49,3.78,1.49,-1.49,2.29,2.29,2.29
69.37,3.78,1.52,3.79,1.53,-1.52,2.26,2.26,2.26
70.07,3.78,1.55,3.78,1.55,-1.56,2.23,2.23,2.23
70.77,3.78,1.58,3.78,1.57,-1.58,2.20,2.20,2.20
71.48,3.75,1.58,3.76,1.59,-1.59,2.16,2.16,2.17
72.19,3.74,1.61,3.73,1.60,-1.60,2.14,2.13,2.13
72.91,3.69,1.59,3.70,1.60,-1.60,2.09,2.10,2.10
73.64,3.65,1.59,3.65,1.59,-1.58,2.07,2.07,2.06
74.38,3.59,1.56,3.58,1.56,-1.55,2.04,2.03,2.03
75.12,3.51,1.52,3.51,1.52,-1.51,2.00,2.00,1.99
75.87,3.41,1.45,3.42,1.46,-1.45,1.96,1.97,1.96
76.63,3.32,1.39,3.31,1.38,-1.37,1.95,1.94,1.93
77.40,3.20,1.30,3.20,1.30,-1.29,1.91,1.91,1.90
78.17,3.06,1.20,3.07,1.20,-1.19,1.87,1.87,1.86
78.95,2.93,1.10,2.93,1.10,-1.09,1.84,1.83,1.83
79.74,2.79,0.99,2.79,0.99,-1.00,1.79,1.79,1.80
80.54,2.66,0.90,2.66,0.89,-0.90,1.76,1.75,1.76
81.35,2.53,0.80,2.54,0.81,-0.82,1.71,1.72,1.73
82.16,2.43,0.74,2.43,0.74,-0.75,1.68,1.68,1.69
82.98,2.35,0.69,2.35,0.69,-0.70,1.65,1.64,1.66
83.81,2.27,0.65,2.28,0.66,-0.67,1.60,1.60,1.62
84.65,2.23,0.65,2.22,0.64,-0.66,1.57,1.56,1.58
85.50,2.18,0.63,2.20,0.65,-0.66,1.52,1.53,1.55
86.35,2.18,0.67,2.18,0.67,-0.68,1.50,1.50,1.51
87.22,2.18,0.71,2.17,0.69,-0.69,1.49,1.48,1.47
88.09,2.14,0.71,2.15,0.72,-0.70,1.44,1.45,1.43
88.97,2.12,0.73,2.12,0.73,-0.71,1.41,1.41,1.39
89.86,2.07,0.72,2.06,0.71,-0.70,1.37,1.36,1.35
90.76,1.98,0.68,1.99,0.69,-0.67,1.31,1.32,1.30
91.66,1.90,0.64,1.90,0.64,-0.62,1.28,1.28,1.26
92.58,1.78,0.57,1.78,0.57,-0.55,1.23,1.23,1.21
93.51,1.66,0.49,1.65,0.48,-0.47,1.19,1.19,1.17
94.44,1.50,0.37,1.51,0.38,-0.37,1.13,1.14,1.13
95.39,1.35,0.27,1.35,0.27,-0.27,1.09,1.08,1.08
96.34,1.19,0.16,1.19,0.16,-0.16,1.03,1.02,1.03
97.30,1.02,0.04,1.03,0.05,-0.06,0.96,0.97,0.98
98.28,0.90,-0.03,0.89,-0.04,0.02,0.92,0.92,0.93
99.26,0.77,-0.12,0.77,-0.12,0.10,0.87,0.87,0.89
100.25,0.67,-0.17,0.68,-0.16,0.15,0.82,0.83,0.84
101.25,0.60,-0.19,0.60,-0.19,0.18,0.78,0.78,0.79
102.27,0.55,-0.19,0.54,-0.20,0.19,0.74,0.74,0.74
103.29,0.50,-0.19,0.51,-0.18,0.19,0.69,0.70,0.69
104.32,0.49,-0.16,0.49,-0.16,0.16,0.65,0.65,0.65
105.37,0.48,-0.12,0.48,-0.12,0.12,0.60,0.60,0.60
106.42,0.48,-0.07,0.48,-0.07,0.07,0.55,0.55,0.55
107.48,0.49,-0.01,0.49,-0.01,-0.00,0.49,0.49,0.50
108.56,0.52,0.07,0.52,0.07,-0.08,0.44,0.44,0.45
109.64,0.55,0.15,0.56,0.16,-0.17,0.39,0.39,0.40
110.74,0.60,0.25,0.60,0.25,-0.25,0.35,0.35,0.35
111.85,0.65,0.35,0.65,0.35,-0.34,0.31,0.30,0.30
112.97,0.68,0.44,0.68,0.44,-0.43,0.25,0.26,0.24
114.10,0.71,0.52,0.71,0.52,-0.50,0.21,0.21,0.19
115.24,0.71,0.58,0.71,0.58,-0.56,0.15,0.15,0.13
116.39,0.71,0.63,0.71,0.63,-0.61,0.10,0.10,0.08
117.55,0.68,0.66,0.68,0.66,-0.64,0.04,0.04,0.02
118.73,0.64,0.67,0.64,0.67,-0.66,-0.02,-0.02,-0.03
119.92,0.59,0.67,0.59,0.67,-0.67,-0.08,-0.08,-0.08
121.12,0.54,0.67,0.54,0.67,-0.69,-0.14,-0.14,-0.13
122.33,0.51,0.69,0.50,0.68,-0.70,-0.19,-0.20,-0.18
123.55,0.46,0.69,0.47,0.70,-0.72,-0.26,-0.25,-0.23
124.79,0.45,0.73,0.45,0.73,-0.75,-0.30,-0.29,-0.28
126.03,0.45,0.78,0.45,0.78,-0.79,-0.33,-0.34,-0.33
127.29,0.45,0.83,0.45,0.83,-0.83,-0.38,-0.39,-0.38
128.57,0.45,0.89,0.46,0.89,-0.89,-0.44,-0.43,-0.44
129.85,0.46,0.95,0.46,0.95,-0.95,-0.49,-0.49,-0.49
131.15,0.49,1.03,0.48,1.02,-1.02,-0.53,-0.53,-0.54
132.46,0.49,1.08,0.50,1.09,-1.08,-0.59,-0.58,-0.59
133.79,0.53,1.16,0.52,1.15,-1.15,-0.62,-0.63,-0.63
135.12,0.53,1.21,0.53,1.21,-1.22,-0.69,-0.68,-0.68
136.48,0.54,1.26,0.55,1.28,-1.28,-0.74,-0.72,-0.72
137.84,0.58,1.35,0.57,1.34,-1.34,-0.76,-0.77,-0.77
139.22,0.58,1.40,0.58,1.39,-1.39,-0.81,-0.81,-0.82
140.61,0.58,1.44,0.59,1.44,-1.43,-0.85,-0.85,-0.86
142.02,0.58,1.47,0.58,1.48,-1.47,-0.89,-0.89,-0.89
143.44,0.58,1.51,0.57,1.51,-1.51,-0.92,-0.93,-0.93
144.87,0.56,1.53,0.56,1.53,-1.53,-0.97,-0.97,-0.97
146.32,0.53,1.54,0.54,1.54,-1.54,-1.01,-1.01,-1.01
147.78,0.51,1.55,0.51,1.55,-1.55,-1.04,-1.04,-1.04
149.26,0.47,1.55,0.47,1.55,-1.55,-1.08,-1.08,-1.08
150.75,0.42,1.54,0.42,1.54,-1.54,-1.12,-1.11,-1.12
152.26,0.37,1.53,0.37,1.53,-1.52,-1.15,-1.15,-1.16
153.78,0.30,1.50,0.30,1.50,-1.49,-1.19,-1.19,-1.20
155.32,0.23,1.47,0.23,1.47,-1.47,-1.24,-1.23,-1.24
156.88,0.16,1.44,0.16,1.44,-1.44,-1.28,-1.28,-1.28
158.44,0.08,1.40,0.08,1.40,-1.41,-1.33,-1.33,-1.32
160.03,0.01,1.37,0.01,1.37,-1.39,-1.38,-1.38,-1.36
161.63,-0.05,1.35,-0.05,1.35,-1.37,-1.42,-1.42,-1.40
163.24,-0.09,1.35,-0.10,1.34,-1.36,-1.45,-1.46,-1.44
164.88,-0.14,1.33,-0.14,1.34,-1.35,-1.49,-1.49,-1.47
166.53,-0.18,1.33,-0.17,1.34,-1.34,-1.52,-1.52,-1.51
168.19,-0.21,1.34,-0.21,1.34,-1.33,-1.54,-1.54,-1.55
169.87,-0.27,1.32,-0.27,1.32,-1.30,-1.57,-1.56,-1.59
171.57,-0.33,1.30,-0.34,1.28,-1.25,-1.57,-1.59,-1.63
173.29,-0.45,1.21,-0.44,1.22,-1.17,-1.62,-1.62,-1.66
175.02,-0.58,1.12,-0.58,1.12,-1.08,-1.66,-1.66,-1.70
176.77,-0.72,1.02,-0.73,1.01,-0.98,-1.69,-1.71,-1.74
178.54,-0.91,0.87,-0.90,0.88,-0.87,-1.78,-1.77,-1.78
180.32,-1.06,0.76,-1.06,0.75,-0.78,-1.84,-1.84,-1.82
182.13,-1.21,0.64,-1.21,0.64,-0.70,-1.91,-1.92,-1.85
183.95,-1.32,0.57,-1.31,0.58,-0.66,-1.98,-1.97,-1.89
185.79,-1.37,0.55,-1.35,0.57,-0.65,-2.02,-2.00,-1.92
187.65,-1.34,0.62,-1.34,0.62,-0.66,-2.00,-2.00,-1.96
189.52,-1.28,0.71,-1.29,0.70,-0.69,-1.97,-1.98,-1.99
191.42,-1.24,0.78,-1.24,0.78,-0.74,-1.97,-1.97,-2.02
193.33,-1.20,0.85,-1.21,0.84,-0.78,-1.98,-1.99,-2.05
195.27,-1.22,0.86,-1.22,0.86,-0.82,-2.04,-2.04,-2.08
197.22,-1.25,0.86,-1.25,0.86,-0.84,-2.09,-2.09,-2.11
199.19,-1.30,0.84,-1.30,0.84,-0.84,-2.14,-2.13,-2.14
201.18,-1.35,0.81,-1.35,0.81,-0.81,-2.16,-2.16,-2.16
203.19,-1.41,0.77,-1.41,0.77,-0.77,-2.18,-2.18,-2.18
205.23,-1.49,0.71,-1.48,0.71,-0.72,-2.21,-2.20,-2.20
207.28,-1.55,0.66,-1.56,0.66,-0.66,-2.21,-2.22,-2.21
209.35,-1.64,0.59,-1.63,0.60,-0.60,-2.24,-2.23,-2.23
211.44,-1.71,0.54,-1.71,0.53,-0.54,-2.24,-2.25,-2.25
213.56,-1.79,0.47,-1.79,0.47,-0.48,-2.26,-2.26,-2.26
215.69,-1.86,0.40,-1.86,0.41,-0.42,-2.28,-2.28,-2.26
217.85,-1.91,0.36,-1.92,0.35,-0.37,-2.27,-2.29,-2.27
220.03,-1.99,0.29,-1.98,0.30,-0.32,-2.30,-2.29,-2.28
222.23,-2.02,0.27,-2.02,0.26,-0.27,-2.29,-2.29,-2.29
224.45,-2.07,0.22,-2.07,0.22,-0.22,-2.29,-2.29,-2.29
226.70,-2.11,0.18,-2.11,0.18,-0.17,-2.28,-2.28,-2.29
228.96,-2.17,0.12,-2.16,0.12,-0.12,-2.29,-2.28,-2.29
231.25,-2.22,0.06,-2.22,0.06,-0.05,-2.27,-2.28,-2.28
233.57,-2.28,0.00,-2.29,-0.01,0.02,-2.26,-2.27,-2.28
235.90,-2.37,-0.09,-2.36,-0.09,0.10,-2.27,-2.26,-2.28
238.26,-2.45,-0.18,-2.45,-0.18,0.19,-2.25,-2.26,-2.27
240.64,-2.55,-0.29,-2.55,-0.29,0.30,-2.25,-2.25,-2.26
243.05,-2.66,-0.41,-2.65,-0.40,0.41,-2.25,-2.24,-2.25
245.48,-2.76,-0.52,-2.76,-0.52,0.53,-2.23,-2.23,-2.24
247.93,-2.86,-0.63,-2.87,-0.64,0.64,-2.22,-2.23,-2.23
250.41,-2.97,-0.75,-2.97,-0.75,0.74,-2.23,-2.22,-2.22
252.92,-3.06,-0.86,-3.06,-0.86,0.83,-2.22,-2.22,-2.20
255.45,-3.13,-0.95,-3.13,-0.95,0.91,-2.22,-2.22,-2.18
258.00,-3.18,-1.01,-3.17,-1.01,0.97,-2.20,-2.20,-2.17
260.58,-3.19,-1.04,-3.19,-1.04,1.03,-2.16,-2.16,-2.15
263.19,-3.19,-1.06,-3.19,-1.06,1.07,-2.12,-2.13,-2.13
265.82,-3.19,-1.08,-3.19,-1.08,1.10,-2.09,-2.09,-2.11
268.48,-3.19,-1.10,-3.20,-1.11,1.13,-2.06,-2.07,-2.09
271.16,-3.21,-1.14,-3.21,-1.14,1.16,-2.05,-2.05,-2.07
273.87,-3.24,-1.19,-3.23,-1.18,1.19,-2.05,-2.04,-2.05
276.61,-3.26,-1.23,-3.26,-1.23,1.23,-2.03,-2.03,-2.03
279.38,-3.29,-1.28,-3.29,-1.28,1.27,-2.01,-2.01,-2.01
282.17,-3.32,-1.33,-3.32,-1.33,1.33,-1.99,-1.99,-1.99
284.99,-3.35,-1.38,-3.35,-1.38,1.39,-1.96,-1.97,-1.97
287.84,-3.40,-1.45,-3.39,-1.44,1.45,-1.95,-1.94,-1.95
290.72,-3.43,-1.50,-3.44,-1.51,1.52,-1.91,-1.92,-1.93
293.63,-3.49,-1.58,-3.49,-1.58,1.59,-1.90,-1.90,-1.91
296.57,-3.55,-1.66,-3.55,-1.66,1.67,-1.88,-1.88,-1.89
299.53,-3.61,-1.74,-3.61,-1.74,1.74,-1.87,-1.87,-1.87
302.53,-3.66,-1.81,-3.66,-1.81,1.82,-1.84,-1.84,-1.85
305.55,-3.71,-1.89,-3.71,-1.88,1.89,-1.82,-1.82,-1.82
308.61,-3.74,-1.94,-3.74,-1.94,1.95,-1.79,-1.79,-1.80
311.69,-3.76,-1.99,-3.76,-1.99,1.99,-1.76,-1.77,-1.77
314.81,-3.76,-2.02,-3.77,-2.02,2.02,-1.74,-1.74,-1.74
317.96,-3.76,-2.04,-3.75,-2.03,2.02,-1.73,-1.72,-1.72
321.14,-3.70,-2.00,-3.70,-2.00,1.99,-1.70,-1.71,-1.70
324.35,-3.62,-1.94,-3.63,-1.95,1.93,-1.69,-1.70,-1.68
327.59,-3.52,-1.86,-3.51,-1.86,1.82,-1.70,-1.69,-1.66
330.87,-3.37,-1.73,-3.36,-1.72,1.67,-1.70,-1.69,-1.64
334.18,-3.16,-1.54,-3.16,-1.54,1.49,-1.67,-1.67,-1.62
337.52,-2.91,-1.31,-2.91,-1.31,1.27,-1.64,-1.64,-1.60
340.90,-2.64,-1.06,-2.63,-1.05,1.03,-1.61,-1.60,-1.58
344.30,-2.34,-0.78,-2.35,-0.79,0.79,-1.55,-1.56,-1.56
347.75,-2.08,-0.54,-2.08,-0.54,0.56,-1.52,-1.52,-1.54
351.23,-1.85,-0.33,-1.84,-0.32,0.36,-1.49,-1.47,-1.52
354.74,-1.64,-0.14,-1.65,-0.14,0.21,-1.43,-1.43,-1.50
358.28,-1.51,-0.02,-1.52,-0.03,0.12,-1.39,-1.40,-1.49
361.87,-1.47,0.00,-1.48,-0.01,0.08,-1.39,-1.39,-1.47
365.49,-1.51,-0.06,-1.52,-0.06,0.10,-1.41,-1.41,-1.45
369.14,-1.62,-0.18,-1.61,-0.17,0.17,-1.45,-1.44,-1.44
372.83,-1.72,-0.30,-1.72,-0.30,0.27,-1.45,-1.45,-1.42
376.56,-1.84,-0.43,-1.84,-0.43,0.39,-1.45,-1.44,-1.41
380.33,-1.95,-0.56,-1.95,-0.56,0.53,-1.42,-1.42,-1.39
384.13,-2.07,-0.69,-2.07,-0.69,0.67,-1.40,-1.40,-1.38
387.97,-2.18,-0.81,-2.18,-0.81,0.80,-1.38,-1.38,-1.37
391.85,-2.28,-0.92,-2.28,-0.92,0.91,-1.37,-1.37,-1.36
395.77,-2.36,-1.02,-2.37,-1.02,1.02,-1.34,-1.35,-1.34
399.73,-2.46,-1.13,-2.45,-1.12,1.11,-1.35,-1.33,-1.33
403.72,-2.51,-1.19,-2.52,-1.20,1.20,-1.31,-1.32,-1.32
407.76,-2.58,-1.27,-2.58,-1.27,1.27,-1.31,-1.31,-1.31
411.84,-2.65,-1.35,-2.64,-1.34,1.34,-1.31,-1.30,-1.30
415.96,-2.69,-1.40,-2.69,-1.41,1.40,-1.29,-1.29,-1.29
420.12,-2.74,-1.46,-2.73,-1.45,1.46,-1.28,-1.28,-1.28
424.32,-2.77,-1.50,-2.77,-1.50,1.51,-1.26,-1.27,-1.27
428.56,-2.80,-1.54,-2.81,-1.55,1.55,-1.25,-1.26,-1.26
432.85,-2.85,-1.60,-2.84,-1.59,1.59,-1.26,-1.25,-1.25
437.18,-2.86,-1.62,-2.86,-1.63,1.63,-1.23,-1.24,-1.24
441.55,-2.89,-1.67,-2.89,-1.66,1.66,-1.23,-1.23,-1.22
445.96,-2.89,-1.68,-2.90,-1.69,1.69,-1.20,-1.21,-1.21
450.42,-2.93,-1.73,-2.92,-1.72,1.72,-1.21,-1.20,-1.20
454.93,-2.93,-1.75,-2.92,-1.74,1.74,-1.18,-1.18,-1.18
459.48,-2.93,-1.76,-2.93,-1.76,1.77,-1.16,-1.16,-1.17
464.07,-2.93,-1.77,-2.94,-1.78,1.79,-1.13,-1.15,-1.16
468.71,-2.96,-1.82,-2.96,-1.81,1.82,-1.14,-1.14,-1.14
473.40,-2.98,-1.85,-2.97,-1.84,1.84,-1.14,-1.13,-1.13
478.13,-2.98,-1.87,-2.98,-1.87,1.86,-1.12,-1.12,-1.11
482.91,-2.98,-1.88,-2.98,-1.89,1.88,-1.10,-1.10,-1.10
487.74,-2.98,-1.90,-2.98,-1.90,1.90,-1.08,-1.08,-1.08
492.62,-2.98,-1.92,-2.98,-1.92,1.91,-1.07,-1.07,-1.06
497.55,-2.98,-1.93,-2.97,-1.92,1.92,-1.06,-1.05,-1.05
502.52,-2.96,-1.93,-2.96,-1.92,1.93,-1.03,-1.03,-1.03
507.55,-2.93,-1.91,-2.94,-1.92,1.93,-1.00,-1.01,-1.02
512.62,-2.93,-1.93,-2.93,-1.93,1.94,-0.99,-0.99,-1.00
517.75,-2.93,-1.95,-2.93,-1.95,1.95,-0.98,-0.98,-0.98
522.93,-2.93,-1.97,-2.92,-1.96,1.95,-0.98,-0.96,-0.96
528.16,-2.90,-1.95,-2.91,-1.96,1.96,-0.94,-0.95,-0.95
533.44,-2.89,-1.96,-2.90,-1.97,1.97,-0.92,-0.93,-0.93
538.77,-2.89,-1.98,-2.88,-1.97,1.97,-0.92,-0.91,-0.91
544.16,-2.87,-1.98,-2.87,-1.98,1.98,-0.89,-0.90,-0.89
549.60,-2.85,-1.98,-2.85,-1.98,1.97,-0.87,-0.88,-0.87
555.10,-2.83,-1.97,-2.83,-1.97,1.97,-0.86,-0.86,-0.86
560.65,-2.80,-1.96,-2.81,-1.97,1.97,-0.83,-0.84,-0.84
566.25,-2.79,-1.97,-2.78,-1.96,1.96,-0.83,-0.82,-0.82
571.92,-2.76,-1.95,-2.76,-1.95,1.95,-0.81,-0.81,-0.81
577.64,-2.73,-1.93,-2.73,-1.94,1.94,-0.79,-0.79,-0.80
583.41,-2.72,-1.94,-2.71,-1.93,1.93,-0.79,-0.78,-0.78
589.25,-2.67,-1.90,-2.69,-1.92,1.92,-0.75,-0.77,-0.77
595.14,-2.67,-1.92,-2.66,-1.90,1.91,-0.76,-0.75,-0.75
601.09,-2.63,-1.89,-2.63,-1.89,1.90,-0.73,-0.73,-0.74
607.10,-2.59,-1.87,-2.60,-1.88,1.88,-0.71,-0.72,-0.72
613.17,-2.58,-1.88,-2.57,-1.87,1.87,-0.71,-0.70,-0.70
