frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
41.35,0.45,-6.03,0.44,-6.04,5.92,6.37,6.36,6.48
41.76,0.53,-5.90,0.54,-5.90,5.85,6.38,6.39,6.44
42.18,0.63,-5.76,0.63,-5.76,5.76,6.40,6.39,6.40
42.60,0.72,-5.63,0.72,-5.64,5.66,6.38,6.38,6.36
43.03,0.80,-5.52,0.81,-5.51,5.54,6.34,6.35,6.32
43.46,0.90,-5.39,0.89,-5.39,5.41,6.31,6.30,6.29
43.90,0.98,-5.28,0.99,-5.27,5.28,6.25,6.26,6.26
44.33,1.08,-5.14,1.09,-5.14,5.14,6.22,6.23,6.23
44.78,1.19,-5.01,1.18,-5.01,5.01,6.20,6.20,6.20
45.23,1.29,-4.88,1.28,-4.88,4.89,6.18,6.17,6.17
45.68,1.37,-4.77,1.38,-4.76,4.76,6.13,6.14,6.14
46.13,1.47,-4.63,1.47,-4.64,4.63,6.10,6.10,6.11
46.60,1.56,-4.51,1.56,-4.50,4.50,6.06,6.06,6.07
47.06,1.64,-4.37,1.65,-4.37,4.38,6.02,6.02,6.02
47.53,1.74,-4.23,1.73,-4.25,4.25,5.99,5.98,5.98
48.01,1.80,-4.14,1.81,-4.13,4.12,5.92,5.93,5.94
48.49,1.90,-4.00,1.89,-4.00,4.00,5.90,5.89,5.90
48.97,1.96,-3.88,1.97,-3.88,3.87,5.83,5.84,5.85
49.46,2.07,-3.73,2.06,-3.75,3.75,5.82,5.81,5.81
49.96,2.13,-3.64,2.14,-3.63,3.63,5.76,5.77,5.77
50.46,2.23,-3.50,2.22,-3.50,3.51,5.74,5.73,5.73
50.96,2.29,-3.39,2.30,-3.38,3.39,5.68,5.68,5.68
51.47,2.37,-3.27,2.37,-3.26,3.27,5.64,5.64,5.64
51.99,2.45,-3.15,2.44,-3.15,3.15,5.60,5.59,5.60
52.51,2.52,-3.04,2.52,-3.03,3.03,5.55,5.55,5.56
53.03,2.59,-2.93,2.59,-2.92,2.92,5.51,5.51,5.52
53.56,2.67,-2.80,2.67,-2.80,2.80,5.47,5.47,5.47
54.10,2.74,-2.69,2.74,-2.69,2.69,5.43,5.43,5.43
54.64,2.81,-2.58,2.81,-2.57,2.58,5.39,5.39,5.39
55.18,2.88,-2.46,2.88,-2.47,2.47,5.35,5.35,5.35
55.74,2.94,-2.36,2.94,-2.36,2.36,5.30,5.30,5.30
56.29,2.99,-2.26,3.00,-2.26,2.25,5.24,5.25,5.26
56.86,3.06,-2.15,3.05,-2.15,2.14,5.20,5.20,5.21
57.42,3.11,-2.04,3.11,-2.04,2.03,5.14,5.14,5.16
58.00,3.17,-1.93,3.17,-1.92,1.92,5.09,5.09,5.10
58.58,3.23,-1.81,3.23,-1.81,1.81,5.04,5.04,5.04
59.16,3.29,-1.69,3.29,-1.70,1.70,4.99,4.99,4.99
59.76,3.34,-1.59,3.33,-1.59,1.60,4.94,4.93,4.93
60.35,3.37,-1.49,3.38,-1.49,1.49,4.86,4.87,4.87
60.96,3.42,-1.39,3.42,-1.39,1.39,4.81,4.81,4.81
61.57,3.47,-1.29,3.46,-1.29,1.29,4.76,4.75,4.76
62.18,3.50,-1.20,3.50,-1.20,1.19,4.70,4.70,4.70
62.80,3.53,-1.11,3.54,-1.11,1.10,4.63,4.64,4.65
63.43,3.57,-1.02,3.57,-1.02,1.01,4.58,4.58,4.59
64.07,3.61,-0.92,3.61,-0.92,0.92,4.53,4.53,4.53
64.71,3.64,-0.84,3.64,-0.83,0.83,4.47,4.47,4.48
65.35,3.67,-0.74,3.67,-0.74,0.75,4.42,4.42,4.42
66.01,3.70,-0.67,3.70,-0.67,0.67,4.37,4.37,4.37
66.67,3.73,-0.60,3.73,-0.60,0.60,4.33,4.33,4.33
67.33,3.74,-0.54,3.75,-0.53,0.54,4.28,4.29,4.29
68.01,3.78,-0.46,3.77,-0.47,0.47,4.25,4.24,4.24
68.69,3.78,-0.42,3.78,-0.42,0.42,4.20,4.20,4.20
69.37,3.78,-0.38,3.79,-0.37,0.36,4.14,4.15,4.16
70.07,3.78,-0.33,3.78,-0.32,0.31,4.09,4.09,4.11
70.77,3.78,-0.27,3.78,-0.27,0.26,4.04,4.03,4.05
71.48,3.75,-0.23,3.76,-0.22,0.21,3.96,3.97,3.98
72.19,3.74,-0.17,3.73,-0.18,0.17,3.91,3.91,3.91
72.91,3.69,-0.15,3.70,-0.14,0.14,3.83,3.84,3.84
73.64,3.65,-0.12,3.65,-0.11,0.12,3.77,3.77,3.77
74.38,3.59,-0.10,3.58,-0.10,0.12,3.71,3.70,3.69
75.12,3.51,-0.11,3.51,-0.11,0.13,3.64,3.64,3.62
75.87,3.41,-0.15,3.42,-0.14,0.15,3.56,3.57,3.56
76.63,3.32,-0.19,3.31,-0.19,0.20,3.52,3.51,3.51
77.40,3.20,-0.25,3.20,-0.25,0.26,3.46,3.45,3.45
78.17,3.06,-0.33,3.07,-0.32,0.33,3.39,3.39,3.39
78.95,2.93,-0.40,2.93,-0.40,0.40,3.33,3.33,3.33
79.74,2.79,-0.49,2.79,-0.48,0.48,3.27,3.27,3.28
80.54,2.66,-0.56,2.66,-0.56,0.55,3.21,3.21,3.22
81.35,2.53,-0.64,2.54,-0.63,0.61,3.14,3.15,3.17
82.16,2.43,-0.68,2.43,-0.67,0.66,3.09,3.09,3.11
82.98,2.35,-0.70,2.35,-0.70,0.68,3.03,3.03,3.05
83.81,2.27,-0.72,2.28,-0.71,0.69,2.96,2.97,2.99
84.65,2.23,-0.70,2.22,-0.71,0.68,2.91,2.91,2.93
85.50,2.18,-0.70,2.20,-0.68,0.66,2.84,2.86,2.88
86.35,2.18,-0.64,2.18,-0.64,0.63,2.81,2.81,2.82
87.22,2.18,-0.58,2.17,-0.59,0.60,2.78,2.76,2.76
88.09,2.14,-0.56,2.15,-0.55,0.57,2.71,2.72,2.70
88.97,2.12,-0.53,2.12,-0.53,0.55,2.67,2.66,2.65
89.86,2.07,-0.52,2.06,-0.52,0.54,2.61,2.60,2.59
90.76,1.98,-0.55,1.99,-0.54,0.56,2.54,2.55,2.53
91.66,1.90,-0.58,1.90,-0.58,0.59,2.49,2.49,2.48
92.58,1.78,-0.65,1.78,-0.64,0.65,2.43,2.43,2.43
93.51,1.66,-0.70,1.65,-0.71,0.72,2.38,2.38,2.36
94.44,1.50,-0.80,1.51,-0.79,0.81,2.31,2.32,2.30
95.39,1.35,-0.90,1.35,-0.89,0.90,2.25,2.25,2.25
96.34,1.19,-1.00,1.19,-1.00,0.99,2.19,2.18,2.19
97.30,1.02,-1.11,1.03,-1.10,1.08,2.10,2.12,2.13
98.28,0.90,-1.18,0.89,-1.18,1.16,2.06,2.05,2.08
99.26,0.77,-1.25,0.77,-1.24,1.22,1.99,2.00,2.02
100.25,0.67,-1.29,0.68,-1.28,1.27,1.94,1.95,1.96
101.25,0.60,-1.31,0.60,-1.30,1.29,1.89,1.89,1.91
102.27,0.55,-1.30,0.54,-1.30,1.30,1.85,1.84,1.85
103.29,0.50,-1.29,0.51,-1.28,1.28,1.78,1.79,1.79
104.32,0.49,-1.24,0.49,-1.24,1.25,1.74,1.74,1.73
105.37,0.48,-1.20,0.48,-1.20,1.20,1.68,1.67,1.68
106.42,0.48,-1.14,0.48,-1.13,1.13,1.61,1.61,1.62
107.48,0.49,-1.07,0.49,-1.06,1.04,1.53,1.54,1.56
108.56,0.52,-0.97,0.52,-0.97,0.95,1.47,1.47,1.49
109.64,0.55,-0.86,0.56,-0.86,0.84,1.40,1.40,1.41
110.74,0.60,-0.75,0.60,-0.74,0.74,1.34,1.34,1.35
111.85,0.65,-0.62,0.65,-0.62,0.63,1.28,1.28,1.27
112.97,0.68,-0.52,0.68,-0.51,0.53,1.21,1.22,1.20
114.10,0.71,-0.42,0.71,-0.42,0.45,1.16,1.15,1.13
115.24,0.71,-0.36,0.71,-0.35,0.37,1.08,1.09,1.07
116.39,0.71,-0.30,0.71,-0.30,0.32,1.03,1.03,1.01
117.55,0.68,-0.27,0.68,-0.27,0.28,0.96,0.96,0.95
118.73,0.64,-0.25,0.64,-0.25,0.25,0.89,0.89,0.89
119.92,0.59,-0.24,0.59,-0.24,0.23,0.83,0.83,0.83
121.12,0.54,-0.24,0.54,-0.23,0.22,0.76,0.76,0.78
122.33,0.51,-0.21,0.50,-0.22,0.20,0.71,0.70,0.72
123.55,0.46,-0.21,0.47,-0.19,0.17,0.63,0.64,0.67
124.79,0.45,-0.16,0.45,-0.15,0.14,0.59,0.59,0.61
126.03,0.45,-0.10,0.45,-0.10,0.10,0.55,0.54,0.55
127.29,0.45,-0.04,0.45,-0.04,0.04,0.49,0.49,0.49
128.57,0.45,0.01,0.46,0.02,-0.02,0.43,0.44,0.44
129.85,0.46,0.07,0.46,0.09,-0.09,0.37,0.38,0.39
131.15,0.49,0.17,0.48,0.16,-0.16,0.33,0.32,0.32
132.46,0.49,0.23,0.50,0.24,-0.24,0.25,0.27,0.26
133.79,0.53,0.32,0.52,0.31,-0.31,0.22,0.20,0.21
135.12,0.53,0.38,0.53,0.38,-0.39,0.14,0.15,0.15
136.48,0.54,0.44,0.55,0.46,-0.46,0.08,0.09,0.10
137.84,0.58,0.54,0.57,0.53,-0.53,0.05,0.03,0.04
139.22,0.58,0.60,0.58,0.60,-0.60,-0.02,-0.02,-0.02
140.61,0.58,0.65,0.59,0.66,-0.66,-0.08,-0.07,-0.07
142.02,0.58,0.71,0.58,0.72,-0.71,-0.13,-0.13,-0.13
143.44,0.58,0.77,0.57,0.76,-0.76,-0.18,-0.19,-0.19
144.87,0.56,0.80,0.56,0.81,-0.81,-0.25,-0.25,-0.24
146.32,0.53,0.83,0.54,0.84,-0.84,-0.31,-0.30,-0.30
147.78,0.51,0.87,0.51,0.87,-0.87,-0.36,-0.36,-0.36
149.26,0.47,0.88,0.47,0.89,-0.88,-0.41,-0.41,-0.41
150.75,0.42,0.89,0.42,0.90,-0.89,-0.47,-0.47,-0.47
152.26,0.37,0.90,0.37,0.90,-0.89,-0.52,-0.53,-0.53
153.78,0.30,0.89,0.30,0.90,-0.89,-0.59,-0.58,-0.59
155.32,0.23,0.88,0.23,0.89,-0.88,-0.65,-0.65,-0.65
156.88,0.16,0.87,0.16,0.87,-0.87,-0.71,-0.71,-0.71
158.44,0.08,0.84,0.08,0.85,-0.86,-0.78,-0.78,-0.76
160.03,0.01,0.82,0.01,0.83,-0.85,-0.84,-0.84,-0.81
161.63,-0.05,0.83,-0.05,0.83,-0.85,-0.90,-0.90,-0.88
163.24,-0.09,0.84,-0.10,0.84,-0.86,-0.95,-0.96,-0.93
164.88,-0.14,0.85,-0.14,0.86,-0.87,-1.01,-1.01,-0.99
166.53,-0.18,0.86,-0.17,0.87,-0.88,-1.06,-1.06,-1.04
168.19,-0.21,0.89,-0.21,0.89,-0.88,-1.09,-1.10,-1.10
169.87,-0.27,0.89,-0.27,0.90,-0.87,-1.14,-1.14,-1.16
171.57,-0.33,0.89,-0.34,0.88,-0.84,-1.17,-1.18,-1.22
173.29,-0.45,0.83,-0.44,0.84,-0.79,-1.23,-1.23,-1.28
175.02,-0.58,0.75,-0.58,0.76,-0.71,-1.29,-1.29,-1.33
176.77,-0.72,0.66,-0.73,0.65,-0.63,-1.35,-1.36,-1.38
178.54,-0.91,0.53,-0.90,0.54,-0.54,-1.45,-1.44,-1.44
180.32,-1.06,0.44,-1.06,0.44,-0.47,-1.53,-1.53,-1.50
182.13,-1.21,0.34,-1.21,0.35,-0.41,-1.62,-1.63,-1.55
183.95,-1.32,0.30,-1.31,0.31,-0.39,-1.71,-1.70,-1.62
185.79,-1.37,0.30,-1.35,0.32,-0.39,-1.76,-1.74,-1.67
187.65,-1.34,0.38,-1.34,0.38,-0.42,-1.76,-1.76,-1.72
189.52,-1.28,0.48,-1.29,0.48,-0.47,-1.75,-1.76,-1.76
191.42,-1.24,0.57,-1.24,0.57,-0.52,-1.76,-1.76,-1.81
193.33,-1.20,0.65,-1.21,0.64,-0.58,-1.78,-1.80,-1.85
195.27,-1.22,0.67,-1.22,0.68,-0.63,-1.85,-1.85,-1.89
197.22,-1.25,0.68,-1.25,0.69,-0.67,-1.92,-1.92,-1.93
199.19,-1.30,0.67,-1.30,0.68,-0.68,-1.98,-1.98,-1.97
201.18,-1.35,0.67,-1.35,0.67,-0.68,-2.03,-2.03,-2.02
203.19,-1.41,0.65,-1.41,0.65,-0.66,-2.07,-2.07,-2.06
205.23,-1.49,0.61,-1.48,0.63,-0.63,-2.12,-2.11,-2.10
207.28,-1.55,0.60,-1.56,0.59,-0.59,-2.14,-2.15,-2.15
209.35,-1.64,0.55,-1.63,0.56,-0.56,-2.20,-2.19,-2.19
211.44,-1.71,0.52,-1.71,0.52,-0.53,-2.23,-2.24,-2.23
213.56,-1.79,0.48,-1.79,0.49,-0.49,-2.28,-2.28,-2.27
215.69,-1.86,0.45,-1.86,0.45,-0.46,-2.32,-2.32,-2.31
217.85,-1.91,0.43,-1.92,0.43,-0.43,-2.34,-2.35,-2.34
220.03,-1.99,0.38,-1.98,0.40,-0.41,-2.40,-2.38,-2.37
222.23,-2.02,0.38,-2.02,0.38,-0.39,-2.41,-2.41,-2.40
224.45,-2.07,0.35,-2.07,0.36,-0.37,-2.44,-2.44,-2.42
226.70,-2.11,0.35,-2.11,0.34,-0.34,-2.45,-2.46,-2.46
228.96,-2.17,0.31,-2.16,0.32,-0.32,-2.49,-2.48,-2.48
231.25,-2.22,0.29,-2.22,0.30,-0.29,-2.51,-2.51,-2.51
233.57,-2.28,0.26,-2.29,0.26,-0.25,-2.53,-2.53,-2.54
235.90,-2.37,0.20,-2.36,0.21,-0.20,-2.57,-2.56,-2.57
238.26,-2.45,0.14,-2.45,0.14,-0.14,-2.59,-2.59,-2.59
240.64,-2.55,0.07,-2.55,0.07,-0.07,-2.62,-2.62,-2.62
243.05,-2.66,-0.01,-2.65,0.00,0.01,-2.65,-2.64,-2.65
245.48,-2.76,-0.08,-2.76,-0.08,0.10,-2.66,-2.66,-2.68
247.93,-2.86,-0.17,-2.87,-0.17,0.19,-2.67,-2.68,-2.69
250.41,-2.97,-0.28,-2.97,-0.27,0.27,-2.70,-2.70,-2.69
252.92,-3.06,-0.37,-3.06,-0.36,0.34,-2.72,-2.72,-2.69
255.45,-3.13,-0.44,-3.13,-0.44,0.40,-2.73,-2.73,-2.69
258.00,-3.18,-0.49,-3.17,-0.48,0.44,-2.74,-2.73,-2.69
260.58,-3.19,-0.50,-3.19,-0.50,0.48,-2.71,-2.71,-2.69
263.19,-3.19,-0.50,-3.19,-0.50,0.50,-2.69,-2.69,-2.69
265.82,-3.19,-0.50,-3.19,-0.49,0.51,-2.67,-2.67,-2.69
268.48,-3.19,-0.50,-3.20,-0.50,0.52,-2.67,-2.67,-2.69
271.16,-3.21,-0.52,-3.21,-0.52,0.53,-2.68,-2.68,-2.69
273.87,-3.24,-0.55,-3.23,-0.54,0.55,-2.69,-2.69,-2.69
276.61,-3.26,-0.57,-3.26,-0.57,0.56,-2.70,-2.70,-2.69
279.38,-3.29,-0.60,-3.29,-0.59,0.59,-2.70,-2.70,-2.69
282.17,-3.32,-0.63,-3.32,-0.63,0.62,-2.70,-2.70,-2.69
284.99,-3.35,-0.66,-3.35,-0.66,0.66,-2.69,-2.69,-2.69
287.84,-3.40,-0.71,-3.39,-0.70,0.70,-2.70,-2.69,-2.69
290.72,-3.43,-0.74,-3.44,-0.74,0.75,-2.68,-2.69,-2.69
293.63,-3.49,-0.80,-3.49,-0.80,0.80,-2.69,-2.69,-2.69
296.57,-3.55,-0.86,-3.55,-0.85,0.86,-2.69,-2.69,-2.69
299.53,-3.61,-0.92,-3.61,-0.91,0.92,-2.69,-2.69,-2.69
302.53,-3.66,-0.97,-3.66,-0.97,0.98,-2.68,-2.68,-2.69
305.55,-3.71,-1.04,-3.71,-1.03,1.04,-2.67,-2.67,-2.67
308.61,-3.74,-1.09,-3.74,-1.09,1.10,-2.64,-2.64,-2.65
311.69,-3.76,-1.14,-3.76,-1.14,1.14,-2.62,-2.62,-2.62
314.81,-3.76,-1.17,-3.77,-1.17,1.17,-2.59,-2.60,-2.59
317.96,-3.76,-1.19,-3.75,-1.18,1.18,-2.58,-2.57,-2.57
321.14,-3.70,-1.16,-3.70,-1.16,1.15,-2.55,-2.55,-2.54
324.35,-3.62,-1.11,-3.63,-1.11,1.09,-2.53,-2.54,-2.51
327.59,-3.52,-1.04,-3.51,-1.02,0.98,-2.54,-2.53,-2.48
330.87,-3.37,-0.90,-3.36,-0.89,0.84,-2.53,-2.52,-2.47
334.18,-3.16,-0.70,-3.16,-0.70,0.65,-2.51,-2.51,-2.46
337.52,-2.91,-0.47,-2.91,-0.46,0.43,-2.48,-2.48,-2.44
340.90,-2.64,-0.21,-2.63,-0.20,0.18,-2.46,-2.45,-2.43
344.30,-2.34,0.07,-2.35,0.06,-0.07,-2.41,-2.42,-2.41
347.75,-2.08,0.32,-2.08,0.32,-0.31,-2.39,-2.39,-2.40
351.23,-1.85,0.54,-1.84,0.56,-0.52,-2.37,-2.35,-2.39
354.74,-1.64,0.75,-1.65,0.75,-0.68,-2.32,-2.33,-2.39
358.28,-1.51,0.88,-1.52,0.87,-0.79,-2.30,-2.31,-2.39
361.87,-1.47,0.92,-1.48,0.92,-0.84,-2.31,-2.32,-2.39
365.49,-1.51,0.88,-1.52,0.88,-0.84,-2.35,-2.35,-2.39
369.14,-1.62,0.77,-1.61,0.79,-0.79,-2.41,-2.40,-2.39
372.83,-1.72,0.67,-1.72,0.68,-0.70,-2.42,-2.42,-2.39
376.56,-1.84,0.55,-1.84,0.56,-0.59,-2.43,-2.43,-2.39
380.33,-1.95,0.44,-1.95,0.44,-0.47,-2.42,-2.42,-2.39
384.13,-2.07,0.32,-2.07,0.32,-0.35,-2.42,-2.42,-2.39
387.97,-2.18,0.21,-2.18,0.22,-0.23,-2.41,-2.41,-2.39
391.85,-2.28,0.11,-2.28,0.12,-0.13,-2.41,-2.40,-2.39
395.77,-2.36,0.03,-2.37,0.03,-0.03,-2.39,-2.40,-2.39
399.73,-2.46,-0.07,-2.45,-0.05,0.05,-2.41,-2.40,-2.39
403.72,-2.51,-0.12,-2.52,-0.12,0.12,-2.39,-2.40,-2.39
407.76,-2.58,-0.19,-2.58,-0.19,0.19,-2.39,-2.40,-2.39
411.84,-2.65,-0.26,-2.64,-0.25,0.24,-2.40,-2.40,-2.39
415.96,-2.69,-0.30,-2.69,-0.30,0.30,-2.39,-2.40,-2.39
420.12,-2.74,-0.35,-2.73,-0.34,0.34,-2.40,-2.39,-2.39
424.32,-2.77,-0.38,-2.77,-0.38,0.38,-2.39,-2.39,-2.39
428.56,-2.80,-0.41,-2.81,-0.42,0.42,-2.38,-2.38,-2.39
432.85,-2.85,-0.47,-2.84,-0.45,0.46,-2.39,-2.38,-2.38
437.18,-2.86,-0.49,-2.86,-0.49,0.49,-2.37,-2.37,-2.37
441.55,-2.89,-0.53,-2.89,-0.52,0.52,-2.37,-2.36,-2.36
445.96,-2.89,-0.55,-2.90,-0.56,0.55,-2.34,-2.35,-2.34
450.42,-2.93,-0.60,-2.92,-0.59,0.58,-2.35,-2.34,-2.33
454.93,-2.93,-0.62,-2.92,-0.61,0.61,-2.32,-2.32,-2.31
459.48,-2.93,-0.63,-2.93,-0.63,0.63,-2.30,-2.30,-2.30
464.07,-2.93,-0.64,-2.94,-0.64,0.65,-2.28,-2.29,-2.29
468.71,-2.96,-0.67,-2.96,-0.66,0.66,-2.30,-2.29,-2.29
473.40,-2.98,-0.69,-2.97,-0.68,0.67,-2.31,-2.30,-2.29
478.13,-2.98,-0.69,-2.98,-0.69,0.68,-2.30,-2.30,-2.29
482.91,-2.98,-0.69,-2.98,-0.69,0.68,-2.29,-2.30,-2.29
487.74,-2.98,-0.69,-2.98,-0.69,0.69,-2.29,-2.29,-2.29
492.62,-2.98,-0.69,-2.98,-0.69,0.69,-2.29,-2.29,-2.29
497.55,-2.98,-0.70,-2.97,-0.69,0.69,-2.29,-2.28,-2.28
502.52,-2.96,-0.69,-2.96,-0.68,0.69,-2.27,-2.27,-2.27
507.55,-2.93,-0.67,-2.94,-0.68,0.69,-2.24,-2.25,-2.26
512.62,-2.93,-0.68,-2.93,-0.68,0.69,-2.24,-2.24,-2.25
517.75,-2.93,-0.70,-2.93,-0.69,0.69,-2.24,-2.23,-2.23
522.93,-2.93,-0.72,-2.92,-0.70,0.70,-2.23,-2.22,-2.21
528.16,-2.90,-0.70,-2.91,-0.70,0.70,-2.20,-2.21,-2.20
533.44,-2.89,-0.70,-2.90,-0.70,0.70,-2.19,-2.19,-2.19
538.77,-2.89,-0.72,-2.88,-0.70,0.71,-2.18,-2.18,-2.17
544.16,-2.87,-0.71,-2.87,-0.71,0.71,-2.16,-2.16,-2.16
549.60,-2.85,-0.71,-2.85,-0.70,0.70,-2.15,-2.15,-2.14
555.10,-2.83,-0.70,-2.83,-0.70,0.70,-2.13,-2.13,-2.13
560.65,-2.80,-0.69,-2.81,-0.69,0.69,-2.11,-2.12,-2.11
566.25,-2.79,-0.69,-2.78,-0.68,0.68,-2.11,-2.10,-2.10
571.92,-2.76,-0.67,-2.76,-0.67,0.67,-2.09,-2.09,-2.09
577.64,-2.73,-0.66,-2.73,-0.66,0.66,-2.07,-2.07,-2.07
583.41,-2.72,-0.66,-2.71,-0.64,0.65,-2.07,-2.06,-2.06
589.25,-2.67,-0.62,-2.69,-0.64,0.64,-2.03,-2.05,-2.05
595.14,-2.67,-0.64,-2.66,-0.62,0.63,-2.04,-2.03,-2.03
601.09,-2.63,-0.62,-2.63,-0.61,0.61,-2.02,-2.02,-2.01
607.10,-2.59,-0.59,-2.60,-0.60,0.59,-2.00,-2.01,-2.00
613.17,-2.58,-0.59,-2.57,-0.57,0.57,-2.01,-2.00,-1.99
